StateAbbr,PlaceName,PlaceFIPS,Population2010,Lack of Health Insurance,Arthritis,Binge Drinking,High Blood Pressure,Blood Pressure Medication,Cancer,Asthma,Coronary Heart Disease,Annual Checkup,Cholesterol Screening,Colonoscopy,Chronic obstructive pulmonary disease,Preventive Services (Older Men),Preventive Services (Older Women),Smoking,Dental Visit,Diabetes,High Cholesterol,Kidney Disease,Physical Inactivity,Mammography,Poor Mental Health,Obesity,Cervical Cancer Screening,Poor Physical Health,Sleep < 7 hrs,Stroke,Teethlost,Geolocation
CA,Oxnard,654652,197899,26.9,19.7,15.3,30.7,52.8,4.9,8.7,6.2,60.3,72.9,56.2,5.7,23.2,22.5,15.5,55.3,12.2,33.9,2.9,29.2,76.9,13.5,27.8,79.6,15.3,32.5,3.0,14.4,"(34.19592377310, -119.181876570)"
CA,Palmdale,655156,152750,25.4,21.2,15.2,29.6,52.8,5.5,9.1,6.6,65.9,73.3,56.3,6.6,22.7,22.4,17.5,55.0,12.6,35.3,2.9,27.0,78.3,14.4,29.6,79.5,16.2,39.0,3.4,13.9,"(34.59448998030, -118.105772328)"
CA,Pasadena,656000,137122,15.3,18.2,16.0,27.4,51.5,5.7,7.8,5.1,67.6,74.8,63.9,4.5,26.8,28.5,12.4,67.5,9.5,34.6,2.4,19.2,82.1,10.5,23.0,82.9,11.2,35.0,2.5,7.9,"(34.15976348060, -118.138921644)"
CA,Perris,656700,68386,29.6,23.0,14.3,33.1,51.2,5.1,9.6,7.0,65.0,71.7,52.3,6.9,20.8,20.5,18.7,50.0,14.2,34.4,3.2,33.3,76.9,15.3,34.0,78.1,18.0,40.6,3.7,19.0,"(33.78973460940, -117.223291831)"
CA,Pleasanton,657792,70285,8.0,17.7,17.3,22.5,49.6,6.1,7.4,4.3,66.3,75.7,72.3,3.8,36.6,33.0,10.2,76.0,6.7,30.6,2.0,15.1,82.0,8.6,17.5,86.0,8.1,29.6,1.9,6.1,"(37.66560921710, -121.880775002)"
CA,Pomona,658072,149058,28.6,20.2,14.5,29.2,51.9,5.0,8.5,6.4,65.0,72.2,53.6,5.9,21.5,21.8,16.3,53.4,13.4,35.8,3.0,28.5,78.1,13.8,29.2,78.3,16.4,38.8,3.2,13.1,"(34.05850263660, -117.762551658)"
CA,Rancho Cucamonga,659451,165269,12.6,19.4,17.5,26.9,51.5,5.8,8.2,5.0,66.9,73.5,66.3,4.8,30.7,30.0,13.1,67.2,8.9,31.5,2.3,18.8,82.2,10.6,23.0,85.5,10.7,34.7,2.4,9.1,"(34.12458955550, -117.566175870)"
CA,Redding,659920,89861,13.1,23.2,17.7,27.1,52.5,6.5,9.8,6.1,62.1,72.8,61.8,7.2,31.9,26.1,18.6,60.8,8.6,32.4,2.5,20.7,75.1,13.6,27.1,79.9,13.3,33.7,2.9,12.6,"(40.56975912710, -122.365026322)"
CA,Redlands,659962,68747,13.3,19.9,17.3,26.8,51.5,6.1,8.5,5.1,66.2,73.0,66.1,5.1,32.3,31.2,13.7,66.6,8.5,31.7,2.3,18.9,81.4,11.2,23.2,84.3,11.1,34.0,2.4,8.7,"(34.05113153170, -117.170935294)"
CA,Redondo Beach,660018,66748,8.1,16.9,18.9,24.8,49.3,6.2,7.3,4.5,68.1,77.0,69.9,3.8,29.9,32.7,10.5,76.7,7.0,33.8,2.1,13.9,83.9,8.8,19.3,86.5,8.4,31.8,1.9,5.1,"(33.85752801590, -118.376567893)"
CA,Redwood City,660102,76815,15.8,19.1,17.1,25.3,51.7,5.8,8.0,5.0,64.8,75.7,66.1,4.6,30.3,32.4,12.4,68.6,8.5,31.1,2.4,19.9,81.4,10.6,23.7,83.7,10.7,31.5,2.3,8.3,"(37.50091452760, -122.224767617)"
CA,Rialto,660466,99171,25.9,22.3,14.9,30.7,53.6,5.2,9.6,6.6,65.2,70.5,55.7,6.6,24.5,22.2,17.3,51.0,13.4,32.7,3.0,28.6,78.2,14.5,30.8,81.2,16.5,39.0,3.5,17.2,"(34.11281580890, -117.388535978)"
CA,Richmond,660620,103701,21.1,21.6,14.0,32.3,54.9,5.3,9.5,5.9,66.0,73.7,60.9,5.9,25.2,23.9,16.2,58.0,12.1,32.3,2.8,27.3,79.8,13.2,32.5,80.3,14.4,39.7,3.4,14.6,"(37.94797103650, -122.336803759)"
CA,Riverside,662000,303871,21.2,21.9,15.6,31.1,50.4,5.7,9.1,6.1,65.7,72.8,60.0,6.2,25.6,26.7,16.9,59.1,10.8,33.8,2.7,26.7,79.2,13.3,29.4,80.3,14.5,38.0,3.0,13.5,"(33.93812516850, -117.394845824)"
CA,Roseville,662938,118788,10.2,19.9,19.0,26.1,51.3,6.3,8.5,5.0,65.5,76.4,67.1,5.0,32.3,33.0,13.9,72.3,7.5,32.4,2.2,17.7,80.3,10.8,22.6,84.6,10.2,31.3,2.3,8.1,"(38.76575161820, -121.302847708)"
CA,Sacramento,664000,466488,17.6,21.2,14.9,31.9,55.4,5.5,9.3,5.9,63.9,72.2,60.6,6.3,26.9,26.3,17.9,58.2,11.1,31.5,2.7,24.1,79.8,13.2,27.3,79.4,13.9,34.6,3.1,14.0,"(38.56663215670, -121.468299801)"
CA,Salinas,664224,150441,30.5,21.1,15.4,30.1,52.6,5.1,9.0,6.6,62.3,68.4,53.5,6.4,24.2,22.8,17.6,51.5,12.8,35.9,3.0,30.1,74.7,14.8,29.8,78.1,16.9,35.4,3.2,15.0,"(36.68891743210, -121.631811961)"
CA,San Bernardino,665000,209924,29.0,23.9,14.0,32.5,55.1,5.4,10.3,7.3,64.0,68.4,51.8,8.0,24.4,21.3,20.0,46.3,14.2,33.7,3.1,31.5,75.3,16.3,32.2,76.9,19.0,39.9,4.0,19.3,"(34.13923228440, -117.295272732)"
CA,San Buenaventura (Ventura),665042,106433,13.5,19.2,18.3,28.8,52.0,6.1,8.5,5.3,62.0,75.6,66.4,5.2,28.9,29.3,13.7,68.9,8.1,32.9,2.4,19.6,80.1,11.2,23.5,84.5,11.0,29.0,2.4,9.0,"(34.27436102060, -119.231436551)"
CA,San Diego,666000,1307402,14.8,19.2,17.3,26.7,52.6,5.7,8.0,5.2,66.4,74.1,64.2,4.9,29.9,28.4,13.1,64.9,9.5,30.9,2.4,21.0,79.9,11.0,22.2,81.5,11.0,34.6,2.5,9.3,"(32.83556394180, -117.119792061)"
CA,San Francisco,667000,805235,11.7,17.5,16.6,25.9,50.5,5.2,7.7,4.7,62.4,75.3,62.2,4.3,27.7,28.8,12.8,68.6,8.9,31.4,2.2,20.1,78.9,9.8,18.4,79.1,10.1,33.6,2.3,9.2,"(37.75591366110, -122.440987876)"
CA,San Jose,668000,945942,15.7,17.7,14.1,26.6,50.8,5.1,7.8,4.8,64.9,74.5,62.0,4.4,26.8,29.8,12.2,67.6,9.4,31.7,2.4,21.7,80.5,10.3,20.5,79.5,10.7,34.6,2.3,9.0,"(37.30039631760, -121.847228423)"
CA,San Leandro,668084,84950,15.8,19.5,14.2,25.2,52.1,5.3,8.2,5.0,65.8,73.7,63.5,4.9,30.8,27.1,13.9,63.0,9.8,31.3,2.4,23.4,78.8,11.1,21.4,80.0,11.5,35.1,2.6,10.4,"(37.70742992620, -122.159061655)"
CA,San Marcos,668196,83781,17.0,20.5,17.6,26.2,51.9,5.9,8.4,5.7,65.5,74.0,62.5,5.8,29.1,26.8,14.7,62.3,9.7,31.0,2.6,22.6,78.3,12.2,23.7,81.4,12.3,34.9,2.7,11.3,"(33.13496598600, -117.174363098)"
CA,San Mateo,668252,97207,12.2,18.3,16.9,24.5,51.3,5.7,7.6,4.6,65.6,76.7,67.3,4.1,30.5,33.4,11.3,71.6,7.9,30.7,2.2,18.3,82.1,9.6,21.1,83.5,9.4,31.4,2.1,7.4,"(37.55182268930, -122.312390346)"
CA,San Ramon,668378,72148,6.8,16.6,16.4,25.4,50.4,5.7,7.0,4.0,67.1,76.7,71.8,3.3,32.8,34.0,8.9,78.6,6.6,31.2,1.9,14.8,83.7,7.8,19.3,85.5,7.3,32.0,1.7,5.1,"(37.76237054620, -121.938150371)"
CA,Santa Ana,669000,324528,31.8,20.0,15.2,28.6,52.6,4.7,8.8,6.3,62.6,72.2,51.3,6.0,20.8,22.5,17.1,50.6,13.4,32.8,3.0,32.5,76.1,14.5,26.9,75.8,16.9,35.7,3.1,14.9,"(33.73669484190, -117.881890237)"
CA,Santa Barbara,669070,88410,15.6,19.6,17.2,27.1,51.2,6.0,8.5,5.3,62.1,73.5,65.2,5.1,30.5,31.3,13.5,68.7,8.5,31.1,2.4,19.0,80.1,11.3,23.7,83.7,11.4,31.2,2.4,8.7,"(34.42857338740, -119.720187334)"
CA,Santa Clara,669084,116468,10.4,16.9,14.4,25.9,50.3,5.4,7.3,4.4,65.9,75.4,65.5,3.9,28.8,31.8,10.3,73.5,8.1,31.3,2.2,17.8,82.0,8.9,18.1,81.4,8.9,32.9,2.0,7.2,"(37.36461975040, -121.967932117)"
CA,Santa Clarita,669088,176320,13.8,18.6,18.1,25.3,49.8,6.1,7.9,5.2,66.9,76.1,65.9,4.8,27.9,30.0,13.5,69.4,8.4,34.0,2.3,18.2,81.9,10.8,22.7,84.4,10.9,34.4,2.3,7.6,"(34.41190391850, -118.503504698)"
CA,Santa Maria,669196,99553,30.9,22.0,14.5,29.4,52.5,5.4,9.6,6.8,59.5,70.3,53.5,7.1,24.6,24.3,18.3,52.3,12.6,32.3,3.0,30.0,74.8,15.3,29.3,76.9,17.5,35.9,3.3,16.7,"(34.93337357570, -120.443326954)"
CA,Santa Monica,670000,89736,8.7,17.6,18.1,25.8,50.2,6.3,7.6,4.7,67.8,76.3,68.7,4.0,29.8,31.7,10.7,75.3,7.2,34.1,2.1,14.2,83.3,9.2,20.3,85.9,8.9,31.6,2.1,5.4,"(34.02318916120, -118.481563937)"
CA,Santa Rosa,670098,167815,15.5,20.2,16.7,26.3,50.9,6.2,8.8,5.4,61.3,74.1,64.5,5.6,30.5,31.1,15.1,66.6,8.5,30.7,2.3,20.1,80.5,12.2,23.2,83.4,11.9,31.0,2.5,9.3,"(38.44644231020, -122.706005935)"
CA,Simi Valley,672016,124237,11.4,18.6,18.5,27.8,51.5,6.0,8.2,5.0,62.6,76.6,67.7,4.9,28.7,29.8,13.2,70.9,7.7,32.4,2.3,18.8,80.9,10.6,21.6,84.7,10.1,29.0,2.2,8.8,"(34.26624628570, -118.748980462)"
CA,South Gate,673080,94396,35.7,20.3,14.6,28.0,50.5,4.6,8.6,6.9,63.5,71.9,49.0,5.8,19.8,18.5,16.5,48.9,15.0,35.9,3.2,31.9,76.5,14.9,31.8,78.9,18.6,38.7,3.2,14.4,"(33.94473226640, -118.192550525)"
CA,Stockton,675000,291707,23.4,22.0,13.6,33.9,56.0,5.2,9.4,6.4,63.2,70.7,56.4,6.7,25.4,23.4,18.0,53.5,12.1,35.5,2.8,31.0,76.3,14.1,29.4,76.2,15.7,38.0,3.4,16.4,"(37.97663226790, -121.311121669)"
CA,Sunnyvale,677000,140081,10.0,16.2,14.1,25.4,50.0,5.3,7.0,4.2,66.2,75.6,66.9,3.5,29.8,33.5,9.3,75.0,7.6,31.1,2.1,16.9,82.7,8.2,16.9,81.7,8.2,32.2,1.9,6.1,"(37.38344165660, -122.025624324)"
CA,Temecula,678120,100097,11.9,20.1,18.0,28.2,48.5,6.1,8.3,5.1,67.2,75.8,66.7,5.0,28.6,31.5,14.3,69.9,8.2,32.6,2.3,19.9,82.0,10.9,24.3,84.1,10.6,35.4,2.3,9.0,"(33.50299808840, -117.122390280)"
CA,Thousand Oaks,678582,126683,10.0,18.0,18.6,27.6,51.5,6.2,8.0,4.7,63.0,76.7,69.9,4.4,30.4,31.6,11.8,73.7,6.9,32.3,2.1,16.8,81.8,9.8,20.4,85.6,9.2,27.6,2.1,7.4,"(34.19177456550, -118.874888411)"
CA,Torrance,680000,145438,10.6,16.6,15.7,24.9,50.0,5.5,6.9,4.4,68.2,75.8,65.9,3.8,27.7,31.1,11.0,72.0,8.0,34.1,2.1,17.4,82.9,9.0,17.7,81.7,9.0,34.8,2.0,6.1,"(33.83459854640, -118.341641983)"
CA,Tracy,680238,82922,16.0,20.2,16.5,30.2,53.2,5.5,8.5,5.5,64.2,74.0,63.6,5.4,27.7,26.9,15.2,63.7,9.6,34.0,2.5,24.5,79.7,11.8,26.1,82.6,12.1,35.1,2.7,12.0,"(37.72432773750, -121.444621463)"
CA,Turlock,680812,68549,18.1,21.8,17.1,28.4,52.7,6.0,9.1,6.1,64.5,71.5,62.1,6.5,27.7,28.5,17.1,62.1,9.8,32.4,2.6,24.1,78.7,13.3,28.8,80.4,13.8,34.5,2.9,12.9,"(37.50521582710, -120.858762412)"
CA,Tustin,680854,75540,16.9,18.2,16.5,26.6,52.2,5.5,8.0,5.0,65.5,74.8,62.7,4.9,26.4,29.7,13.3,65.7,9.1,31.5,2.3,22.4,80.5,11.0,20.5,80.1,11.4,32.3,2.4,9.4,"(33.73085203260, -117.810730968)"
CA,Union City,681204,69516,14.0,17.4,12.8,24.2,51.3,4.7,7.2,4.4,66.1,73.2,63.2,3.9,29.7,27.4,11.8,65.2,9.7,31.5,2.2,22.9,79.5,9.6,17.3,78.3,10.1,35.0,2.2,8.9,"(37.60283908120, -122.018966106)"
CA,Upland,681344,73732,15.6,20.3,16.6,27.5,52.1,5.9,8.6,5.3,66.0,72.1,64.4,5.4,31.2,29.6,14.3,63.5,9.3,32.0,2.4,20.8,80.8,11.7,24.5,83.3,12.0,35.2,2.6,9.9,"(34.11784457010, -117.660290062)"
CA,Vacaville,681554,92428,12.8,21.0,19.0,28.2,52.9,6.0,8.6,5.6,64.6,75.2,66.4,5.4,28.7,30.7,15.6,67.1,8.9,31.9,2.4,19.8,79.2,11.5,26.2,83.1,11.3,33.5,2.6,10.3,"(38.35972350630, -121.969030460)"
CA,Vallejo,681666,115942,16.3,21.3,14.5,31.0,55.8,5.3,8.9,5.5,65.7,73.1,60.8,5.7,25.2,26.6,15.8,60.3,11.1,32.6,2.6,24.6,77.9,12.2,26.6,77.3,12.8,36.9,3.0,13.1,"(38.11353292470, -122.235518478)"
CA,Victorville,682590,115903,22.8,23.2,15.1,31.5,54.4,5.6,9.9,6.8,64.9,70.1,55.4,7.5,25.8,23.0,19.1,51.2,12.7,33.1,2.9,27.8,77.0,14.9,30.4,79.6,16.6,39.2,3.6,16.8,"(34.52776911030, -117.353855136)"
CA,Visalia,682954,124442,19.4,21.1,16.3,28.9,52.5,5.9,9.0,6.1,64.7,69.2,58.5,6.4,27.5,26.7,15.7,63.8,10.2,32.9,2.6,25.1,76.6,13.2,29.4,81.8,14.1,32.8,2.9,12.8,"(36.32706231570, -119.325273214)"
CA,Vista,682996,93834,21.1,21.4,17.4,27.1,52.2,5.8,8.8,6.2,64.6,73.4,59.9,6.5,28.0,25.4,16.6,57.4,10.8,31.4,2.7,25.4,76.9,13.5,26.3,80.3,14.0,36.2,2.9,12.8,"(33.18954819780, -117.238607217)"
CA,West Covina,684200,106098,18.8,17.4,14.8,25.9,50.2,4.9,7.2,5.0,67.1,74.5,59.7,4.2,24.1,26.3,12.3,63.8,10.6,34.6,2.4,22.8,81.2,10.5,22.3,80.4,11.7,37.1,2.4,8.7,"(34.05544151740, -117.911282060)"
CA,Westminster,684550,89701,19.5,18.6,13.5,27.6,53.3,4.9,7.9,5.2,64.6,72.9,54.9,5.5,22.6,26.2,15.8,57.3,10.8,32.4,2.4,28.7,77.1,12.0,18.4,70.4,12.9,36.2,2.7,12.2,"(33.75215237690, -117.993760054)"
CA,Whittier,685292,85331,20.2,18.4,17.1,25.5,49.2,5.4,7.6,5.4,66.2,75.0,61.8,4.6,26.0,26.9,12.9,64.9,10.3,34.5,2.5,21.5,81.2,11.3,25.7,84.3,12.4,35.2,2.4,8.4,"(33.96782555960, -118.018796341)"
CO,Arvada,803455,106433,11.8,21.6,20.4,23.8,51.4,5.9,8.5,4.5,60.3,76.2,65.9,4.5,41.6,36.2,16.5,69.3,5.8,29.2,2.2,14.4,73.3,9.3,20.0,84.5,8.9,26.6,2.2,9.7,"(39.83082632930, -105.146327974)"
CO,Aurora,804000,325078,18.9,23.0,16.5,28.1,53.7,5.7,9.0,5.0,61.2,73.2,61.1,5.3,38.1,31.6,18.2,60.9,8.4,30.7,2.5,19.9,71.5,10.9,25.8,80.5,11.5,33.2,2.8,14.9,"(39.70915947810, -104.726526621)"
CO,Boulder,807850,97385,10.6,20.7,17.6,23.1,52.4,6.0,8.6,4.4,58.9,75.1,65.9,4.1,39.2,37.7,12.1,73.1,5.4,29.3,2.0,11.6,75.4,8.7,16.6,84.2,8.8,25.4,2.2,8.4,"(40.02755104940, -105.251517760)"
CO,Centennial,812815,100377,8.4,20.0,19.8,23.7,50.5,6.1,7.7,3.9,62.2,76.5,70.0,3.6,44.5,38.6,12.7,75.4,5.4,29.5,1.9,12.2,76.0,7.9,19.3,86.2,7.3,27.9,1.9,7.7,"(39.59287207300, -104.867986891)"
CO,Colorado Springs,816000,416427,13.9,23.4,15.2,27.5,54.6,6.0,8.5,4.9,65.0,73.6,66.4,4.9,38.2,33.9,17.2,65.3,7.1,32.5,2.4,17.0,73.7,10.0,23.3,81.6,10.1,30.0,2.5,12.4,"(38.86727480770, -104.760664479)"
CO,Denver,820000,600158,17.8,20.8,19.9,27.3,51.8,5.7,8.8,4.9,59.2,73.8,62.6,4.8,36.7,30.9,17.0,63.1,7.7,31.6,2.4,16.7,73.7,10.1,19.7,81.3,11.1,28.1,2.7,13.0,"(39.76202837430, -104.876365322)"
CO,Fort Collins,827425,143986,11.4,21.6,18.0,23.9,52.0,6.0,8.8,4.6,62.8,73.5,65.8,4.6,37.2,31.7,14.7,68.0,6.1,30.6,2.2,14.5,74.2,9.4,20.1,83.1,9.5,24.5,2.3,9.5,"(40.54877589240, -105.065904872)"
CO,Greeley,832155,92889,20.7,23.6,16.1,28.1,53.5,5.6,9.0,5.3,56.5,70.2,58.9,5.6,35.8,28.6,18.6,57.7,7.9,29.1,2.6,22.1,69.5,11.4,27.0,79.2,12.1,31.7,2.7,15.0,"(40.41413695210, -104.771170982)"
CO,Lakewood,843000,142980,14.4,21.9,19.4,24.6,52.0,5.8,8.6,4.6,60.0,75.3,63.9,4.7,41.0,35.1,16.8,66.5,6.4,29.6,2.3,15.7,72.4,9.7,20.9,83.2,9.7,27.1,2.3,10.4,"(39.69767344620, -105.116965444)"
CO,Longmont,845970,86270,15.3,21.9,17.6,22.5,51.7,5.9,8.9,4.9,58.4,75.8,62.2,4.9,36.4,35.3,14.5,68.2,6.4,29.0,2.2,14.8,73.1,10.0,18.2,83.5,10.5,27.2,2.5,12.2,"(40.16951647080, -105.101951060)"
CO,Loveland,846465,66859,11.6,21.9,18.9,22.9,51.2,6.0,8.8,4.6,62.8,74.8,66.0,4.8,37.0,32.2,15.7,67.9,6.0,30.1,2.2,15.1,74.2,9.6,20.1,83.9,9.5,24.8,2.3,10.1,"(40.41656937580, -105.061758435)"
CO,Pueblo,862000,106595,24.4,24.9,14.5,29.7,54.3,5.5,9.1,5.7,62.5,67.3,53.8,5.8,32.3,31.1,20.5,55.3,9.6,34.2,2.7,23.8,70.7,12.0,30.6,77.9,13.5,35.0,3.0,15.0,"(38.27339572510, -104.612001218)"
CO,Thornton,877290,118772,16.6,21.8,17.5,26.0,49.2,5.9,8.6,4.8,58.7,72.4,63.3,4.9,35.6,32.9,18.5,66.4,7.5,30.9,2.4,18.2,73.8,10.0,25.1,82.4,10.2,31.1,2.4,14.4,"(39.91939941880, -104.944956758)"
CO,Westminster,883835,106114,13.6,21.5,18.7,25.1,50.1,5.9,8.5,4.6,59.6,74.0,65.1,4.6,38.2,34.5,17.0,68.6,6.7,30.2,2.2,16.1,74.1,9.4,22.3,83.4,9.4,28.9,2.3,12.6,"(39.88385114750, -105.062645316)"
CT,Bridgeport,908000,144229,23.0,23.7,14.4,34.4,60.5,5.6,10.5,6.5,66.2,76.3,59.4,7.1,27.3,30.2,22.6,56.9,12.5,31.4,3.1,29.7,77.9,14.3,32.5,80.4,14.0,40.6,3.7,16.5,"(41.19280542330, -73.1960546940)"
CT,Danbury,918430,80893,15.4,21.2,17.2,28.3,56.1,6.3,9.1,5.5,64.8,78.1,66.3,5.8,32.6,36.9,19.2,68.0,8.5,30.7,2.4,22.6,79.3,11.8,25.1,83.2,10.4,35.4,2.6,11.2,"(41.40158986060, -73.4709386820)"
CT,Hartford,937000,124775,24.4,26.6,12.3,39.5,65.1,5.3,12.1,7.2,70.9,74.4,56.5,8.0,24.2,25.0,21.6,55.3,15.5,36.5,3.5,33.8,79.0,15.9,38.6,80.5,16.9,42.0,4.4,24.9,"(41.76607064190, -72.6834012389)"
CT,New Britain,950370,73206,18.3,24.7,14.7,33.4,61.8,6.2,10.8,6.4,69.3,75.9,62.2,7.2,29.4,31.3,19.7,64.5,11.1,35.9,2.8,27.7,79.4,14.0,32.4,83.0,13.7,37.4,3.2,18.7,"(41.67592265400, -72.7861630705)"
CT,New Haven,952000,129779,17.4,25.2,12.9,35.8,61.5,5.8,11.1,6.2,70.5,75.8,64.2,6.8,31.3,32.0,19.6,64.4,12.3,32.8,2.9,28.1,81.9,13.4,35.3,82.3,13.1,42.6,3.7,16.6,"(41.31138693920, -72.9247595793)"
CT,Norwalk,955990,85603,12.9,20.2,17.6,28.8,56.9,6.3,8.7,5.0,66.3,78.6,69.1,4.9,33.7,38.7,16.4,71.9,8.1,30.4,2.3,19.8,81.4,10.4,24.6,85.6,9.0,34.4,2.4,9.2,"(41.11756316820, -73.4224513123)"
CT,Stamford,973000,122643,13.3,20.1,17.1,29.2,57.1,6.2,8.6,5.0,66.2,78.1,68.8,4.9,33.7,38.3,16.0,71.5,8.2,30.6,2.3,20.0,81.4,10.3,24.2,85.1,9.1,34.3,2.4,9.4,"(41.10491450130, -73.5589363142)"
CT,Waterbury,980000,110366,19.0,25.6,13.8,32.6,59.6,6.1,11.2,6.5,68.5,76.2,63.1,7.5,32.1,33.3,21.9,63.6,11.2,32.8,2.8,29.0,79.9,14.5,34.5,81.1,13.7,41.9,3.4,16.5,"(41.55824432660, -73.0361298320)"
DE,Wilmington,1077580,70851,18.3,26.2,14.7,39.4,68.5,5.7,11.0,6.5,74.4,75.5,62.0,7.2,28.8,30.4,24.6,54.6,13.8,34.2,3.6,31.4,82.5,14.4,39.3,84.4,14.8,44.2,4.2,19.9,"(39.74127482270, -75.5418960925)"
DC,Washington,1150000,601723,9.9,21.4,20.3,31.2,59.3,5.7,10.2,4.8,72.0,80.0,66.9,5.1,31.5,28.7,18.0,69.2,10.0,32.4,2.6,20.5,79.9,10.9,25.4,86.0,9.8,35.2,3.5,11.7,"(38.90992414260, -77.0147205666)"
FL,Boca Raton,1207300,84392,15.0,20.9,18.9,29.1,60.1,6.7,7.7,5.3,71.6,77.4,71.5,5.2,38.0,34.4,15.1,71.9,7.3,35.3,2.6,17.6,80.2,10.7,20.9,85.0,9.6,34.8,2.2,7.6,"(26.37490127150, -80.1078208861)"
FL,Boynton Beach,1207875,68217,22.3,24.0,16.4,33.6,63.5,6.4,9.2,6.4,72.8,77.3,64.7,7.3,33.8,29.9,20.6,60.4,10.3,35.6,3.2,24.5,77.3,13.8,26.7,81.3,13.2,40.7,3.2,12.8,"(26.52798180520, -80.0814660417)"
FL,Cape Coral,1210275,154305,20.1,24.1,19.5,28.2,58.4,6.6,8.5,6.2,70.3,74.8,64.7,6.8,34.4,33.0,20.6,62.3,8.6,34.0,2.8,20.8,80.1,13.0,25.5,80.5,11.8,34.0,2.7,12.7,"(26.64485449930, -81.9931108298)"
FL,Clearwater,1212875,107685,21.2,24.5,20.0,30.9,60.5,6.6,8.9,6.4,69.8,75.1,64.7,7.3,35.1,34.2,22.6,57.4,9.2,34.9,2.8,21.9,77.8,13.6,28.5,79.0,12.7,37.3,2.9,14.7,"(27.98059979190, -82.7544099135)"
FL,Coral Springs,1214400,121096,18.2,21.9,18.1,27.6,60.0,6.1,8.1,5.6,73.9,77.0,67.2,5.7,31.4,29.0,15.5,67.6,8.9,32.3,2.9,20.4,81.0,11.6,24.1,83.0,10.5,36.2,2.6,10.1,"(26.27017001580, -80.2592221493)"
FL,Davie,1216475,91992,19.3,21.7,18.4,26.7,58.8,6.2,7.9,5.6,72.8,76.4,66.5,5.7,31.9,29.5,15.6,67.5,8.7,32.5,2.9,20.5,80.4,11.7,23.7,82.3,10.6,35.3,2.5,9.9,"(26.07893407780, -80.2869750311)"
FL,Deerfield Beach,1216725,75018,24.3,24.8,16.8,30.7,62.2,6.3,9.4,6.7,72.9,75.6,61.3,7.9,29.6,26.4,21.3,57.8,10.6,33.1,3.3,25.7,77.6,14.7,28.4,78.4,13.9,39.3,3.4,14.2,"(26.30499664130, -80.1277706584)"
FL,Deltona,1217200,85182,23.7,24.4,19.2,32.2,59.3,6.2,9.0,6.7,70.3,74.6,62.8,7.5,33.9,28.5,23.0,56.4,10.9,35.8,3.1,25.9,74.9,14.0,27.3,78.4,13.3,37.1,3.0,14.8,"(28.90506004800, -81.2134269839)"
FL,Fort Lauderdale,1224000,165521,22.0,23.4,17.5,31.2,62.6,6.2,9.0,6.4,73.6,75.6,64.6,7.0,31.4,28.6,19.2,61.2,10.2,33.0,3.2,23.2,79.9,13.5,27.5,80.3,12.5,38.3,3.2,12.1,"(26.14182051740, -80.1471225502)"
FL,Gainesville,1225175,124354,20.4,25.2,16.3,33.2,63.3,6.3,9.3,6.4,70.5,75.4,64.7,7.4,34.4,28.9,19.7,58.2,10.1,31.8,3.0,22.6,76.1,13.7,27.9,77.0,13.2,36.2,3.3,13.4,"(29.68170274310, -82.3452782660)"
FL,Hialeah,1230000,224669,42.8,21.4,14.2,30.0,59.9,4.5,7.8,7.1,69.5,70.4,51.2,5.8,21.5,19.5,17.6,52.3,14.7,35.9,3.9,34.7,75.0,14.6,32.2,75.9,16.9,36.7,3.1,15.3,"(25.86962694800, -80.3045294666)"
FL,Hollywood,1232000,140768,24.3,23.0,17.3,29.0,60.6,6.0,8.5,6.2,72.7,75.3,62.8,6.5,30.3,27.3,17.9,61.4,10.2,33.1,3.2,24.0,79.0,13.1,26.8,80.4,12.5,37.5,2.9,11.8,"(26.02870257030, -80.1683976059)"
FL,Jacksonville,1235000,821784,20.2,25.3,17.4,33.0,64.3,6.3,9.2,6.4,70.6,75.9,65.4,7.4,31.5,29.1,21.1,57.7,10.6,34.8,3.2,25.5,78.7,13.8,30.6,78.6,12.9,37.8,3.4,16.0,"(30.33198201390, -81.6752266207)"
FL,Lakeland,1238250,97422,22.7,25.4,16.7,34.9,62.9,6.4,9.7,6.9,70.6,75.0,61.9,8.2,32.6,29.9,21.9,56.8,10.7,33.7,3.1,26.0,75.9,14.7,31.2,77.2,13.8,37.8,3.4,16.3,"(28.05584826640, -81.9539536462)"
FL,Largo,1239425,77648,20.3,25.1,20.2,30.2,59.7,6.7,9.0,6.6,69.3,75.4,63.5,7.8,34.3,33.2,23.9,56.7,9.0,35.0,2.8,22.3,76.5,14.0,28.0,78.0,13.0,37.5,2.9,16.1,"(27.90909077340, -82.7714203383)"
FL,Lauderhill,1239550,66887,27.0,26.6,13.5,38.2,66.7,5.6,10.9,6.9,77.8,76.1,60.9,8.3,25.3,23.2,22.6,51.1,14.1,32.5,4.0,29.4,80.5,16.0,34.7,79.2,15.3,45.8,4.5,17.9,"(26.16055841870, -80.2241278263)"
FL,Melbourne,1243975,76068,18.2,24.8,20.5,29.4,59.6,6.6,8.9,6.2,70.4,74.8,64.9,7.2,33.5,31.2,21.6,61.3,9.0,34.1,2.8,22.7,79.2,13.2,25.0,80.6,12.0,37.8,2.9,14.6,"(28.11588057820, -80.6508814613)"
